,Address1,Address2,price,postal,street,lats,lons,codes
10,#517 -28 EMPRESS AVE,"Toronto, Ontario M2N6Z7",539800.0,M2N 6Z7,28 empress ave,43.7699627,-79.41176256476935,"{'place_id': 110490556, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 34976578, 'boundingbox': ['43.7696636', '43.7702813', '-79.4119987', '-79.4114989'], 'lat': '43.7699627', 'lon': '-79.41176256476935', 'display_name': '28, Empress Avenue, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 6Z7, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
11,#S229 -455 FRONT ST E,"Toronto, Ontario M5A1G9",595000.0,M5A 1G9,455 front st e,43.652873,-79.356605,"{'place_id': 48107896, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4035155429, 'boundingbox': ['43.652823', '43.652923', '-79.356655', '-79.356555'], 'lat': '43.652873', 'lon': '-79.356605', 'display_name': '455, Front Street East, Canary District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 0J2, Canada', 'class': 'place', 'type': 'house', 'importance': 0.711}"
12,#TH03 -1350 KINGSTON RD,"Toronto, Ontario M1N1C8",989900.0,M1N 1C8,1350 kingston rd,43.68570842222223,-79.2741855,"{'place_id': 4739039, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 66414887, 'boundingbox': ['43.685658422222', '43.685758422222', '-79.2742355', '-79.2741355'], 'lat': '43.68570842222223', 'lon': '-79.2741855', 'display_name': '1350, Kingston Road, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1N 2T6, Canada', 'class': 'place', 'type': 'house', 'importance': 0.511}"
13,#2920 -28 WIDMER ST,"Toronto, Ontario M5V2E7",799000.0,M5V 2E7,28 widmer st,43.647437000000004,-79.39163466666666,"{'place_id': 41584928, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 401220388, 'boundingbox': ['43.647387', '43.647487', '-79.391684666667', '-79.391584666667'], 'lat': '43.647437000000004', 'lon': '-79.39163466666666', 'display_name': '28, Widmer Street, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1R1, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
14,#1007 -105 VICTORIA ST,"Toronto, Ontario M5C3B4",549000.0,M5C 3B4,105 victoria st,43.652101,-79.377723,"{'place_id': 48118637, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4035509856, 'boundingbox': ['43.652051', '43.652151', '-79.377773', '-79.377673'], 'lat': '43.652101', 'lon': '-79.377723', 'display_name': '105, Victoria Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2T6, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
15,#4311 -17 BATHURST ST,"Toronto, Ontario M5V0N1",899000.0,M5V 0N1,17 bathurst st,43.6400792,-79.4011346,"{'place_id': 234300769, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 669650559, 'boundingbox': ['43.6400792', '43.6406398', '-79.4013654', '-79.4011346'], 'lat': '43.6400792', 'lon': '-79.4011346', 'display_name': 'Bathurst Street, Fort York, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 0E7, Canada', 'class': 'highway', 'type': 'secondary', 'importance': 0.6199311114495475}"
16,#104 -3531 LAKE SHORE BLVD W,"Toronto, Ontario M8W1P4",499999.0,M8W 1P4,3531 lake shore blvd w,43.59438755,-79.53266126190118,"{'place_id': 143502019, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 178157979, 'boundingbox': ['43.5942282', '43.5945506', '-79.5329814', '-79.5323435'], 'lat': '43.59438755', 'lon': '-79.53266126190118', 'display_name': '3531, Lake Shore Boulevard West, Long Branch, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8W 1N5, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.711}"
17,#4305 -2191 YONGE ST,"Toronto, Ontario M4S3H8",1148000.0,M4S 3H8,2191 yonge st,43.6862379,-79.3933171,"{'place_id': 256292885, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 800153748, 'boundingbox': ['43.6858683', '43.6862379', '-79.3933171', '-79.3931689'], 'lat': '43.6862379', 'lon': '-79.3933171', 'display_name': ""Yonge Street, Deer Park, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4T 1Y4, Canada"", 'class': 'highway', 'type': 'primary', 'importance': 0.6}"
18,#LPH 11 -51 HARRISON GARDEN BLVD,"Toronto, Ontario M2N7G4",639995.0,M2N 7G4,51 harrison garden blvd,43.7566575,-79.40777761481542,"{'place_id': 109360966, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 31779788, 'boundingbox': ['43.7564808', '43.7568632', '-79.4080175', '-79.4075498'], 'lat': '43.7566575', 'lon': '-79.40777761481542', 'display_name': '51, Harrison Garden Boulevard, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 0C2, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
19,#3301 -14 YORK ST,"Toronto, Ontario M5J0B1",525000.0,M5J 0B1,14 york st,43.6420334,-79.38161392504523,"{'place_id': 157715052, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 229484420, 'boundingbox': ['43.6418587', '43.6421678', '-79.3818126', '-79.3814171'], 'lat': '43.6420334', 'lon': '-79.38161392504523', 'display_name': 'Ice II, 14, York Street, Harbourfront, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 0E1, Canada', 'class': 'building', 'type': 'yes', 'importance': 0.611}"
20,#807 -10 MARTHA EATON WAY,"Toronto, Ontario M6M5B3",399800.0,M6M 5B3,10 martha eaton way,43.696596,-79.4900696,"{'place_id': 6468346, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 803289471, 'boundingbox': ['43.696546', '43.696646', '-79.4901196', '-79.4900196'], 'lat': '43.696596', 'lon': '-79.4900696', 'display_name': '10, Martha Eaton Way, York South—Weston, North York, Toronto, Golden Horseshoe, Ontario, M6M 5E6, Canada', 'class': 'place', 'type': 'house', 'importance': 0.711}"
21,#2507 -70 DISTILLERY LANE,"Toronto, Ontario M5A0E3",2250000.0,M5A 0E3,70 distillery lane,43.6500216,-79.3576928,"{'place_id': 182314559, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 338717416, 'boundingbox': ['43.6496792', '43.6503856', '-79.358498', '-79.3569421'], 'lat': '43.6500216', 'lon': '-79.3576928', 'display_name': 'Distillery Lane, Distillery District, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3C4, Canada', 'class': 'highway', 'type': 'living_street', 'importance': 0.6}"
22,#415 -1630 QUEEN ST E,"Toronto, Ontario M4L0B3",629000.0,M4L 0B3,1630 queen st e,43.66685855,-79.31520464512629,"{'place_id': 160469708, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 240075721, 'boundingbox': ['43.6667822', '43.6669463', '-79.3153065', '-79.3151028'], 'lat': '43.66685855', 'lon': '-79.31520464512629', 'display_name': '1630, Queen Street East, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4L 1G5, Canada', 'class': 'building', 'type': 'yes', 'importance': 0.711}"
23,#1010 -2 COVINGTON RD,"Toronto, Ontario M6A3E2",599000.0,M6A 3E2,2 covington rd,43.7209753,-79.4304093,"{'place_id': 6475806, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 803373434, 'boundingbox': ['43.7209253', '43.7210253', '-79.4304593', '-79.4303593'], 'lat': '43.7209753', 'lon': '-79.4304093', 'display_name': '2, Covington Road, Lawrence Manor, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6A 3B7, Canada', 'class': 'place', 'type': 'house', 'importance': 0.511}"
24,##2301 -33 SHORE BREEZE DR,"Toronto, Ontario M8V1A1",599000.0,M8V 1A1,33 shore breeze dr,,,
25,#519 -38 FOREST MANOR RD,"Toronto, Ontario M2J1M5",779900.0,M2J 1M5,38 forest manor rd,43.77191019012389,-79.3445363479493,"{'place_id': 8129052, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 75974049, 'boundingbox': ['43.771860190124', '43.771960190124', '-79.344586347949', '-79.344486347949'], 'lat': '43.77191019012389', 'lon': '-79.3445363479493', 'display_name': '38, Forest Manor Road, Parkway Forest, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2J 1M4, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
26,#PH40 -250 WELLINGTON ST W,"Toronto, Ontario M5V3P6",1299000.0,M5V 3P6,250 wellington st w,43.6452451,-79.39036386928026,"{'place_id': 109480723, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 32023936, 'boundingbox': ['43.6450716', '43.6454326', '-79.3907724', '-79.3899601'], 'lat': '43.6452451', 'lon': '-79.39036386928026', 'display_name': 'The Icon II, 250, Wellington Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3P6, Canada', 'class': 'building', 'type': 'residential', 'importance': 0.711}"
27,#1106 -92 KING ST E,"Toronto, Ontario M5C2V8",788900.0,M5C 2V8,92 king st e,43.6498738,-79.3751323,"{'place_id': 13677585, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 1358383749, 'boundingbox': ['43.6498238', '43.6499238', '-79.3751823', '-79.3750823'], 'lat': '43.6498738', 'lon': '-79.3751323', 'display_name': 'St. Louis Bar & Grill, 92, King Street East, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2B1, Canada', 'class': 'amenity', 'type': 'restaurant', 'importance': 0.711, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons//food_restaurant.p.20.png'}"
28,#406 -19 DUNDONALD ST,"Toronto, Ontario M4Y1K3",699900.0,M4Y 1K3,19 dundonald st,43.666164,-79.382971,"{'place_id': 48094823, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4035047524, 'boundingbox': ['43.666114', '43.666214', '-79.383021', '-79.382921'], 'lat': '43.666164', 'lon': '-79.382971', 'display_name': '19, Dundonald Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2C7, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
29,#609 -15 BRUYERES MEWS,"Toronto, Ontario M5V0A7",789900.0,M5V 0A7,15 bruyeres mews,43.6373046,-79.4004642,"{'place_id': 175879999, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 311030155, 'boundingbox': ['43.6373046', '43.6374038', '-79.40136', '-79.4000285'], 'lat': '43.6373046', 'lon': '-79.4004642', 'display_name': 'Bruyeres Mews, Fort York, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 0G7, Canada', 'class': 'highway', 'type': 'residential', 'importance': 0.6}"
30,#PH5 -5418 YONGE ST,"Toronto, Ontario M2N6X4",1280000.0,M2N 6X4,5418 yonge st,43.7756962,-79.4147639,"{'place_id': 67707401, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6177369818, 'boundingbox': ['43.7756462', '43.7757462', '-79.4148139', '-79.4147139'], 'lat': '43.7756962', 'lon': '-79.4147639', 'display_name': 'Crystal Palace, 5418, Yonge Street, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 5R6, Canada', 'class': 'amenity', 'type': 'restaurant', 'importance': 0.611, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons//food_restaurant.p.20.png'}"
31,#1101 -942 YONGE ST,"Toronto, Ontario M4W3S8",995000.0,M4W 3S8,942 yonge st,43.6746538,-79.3890069,"{'place_id': 22500125, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 2443240891, 'boundingbox': ['43.6746038', '43.6747038', '-79.3890569', '-79.3889569'], 'lat': '43.6746538', 'lon': '-79.3890069', 'display_name': 'Memphis Condominium, 942, Yonge Street, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2H2, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
32,#4803 -38 WIDMER ST,"Toronto, Ontario M5V2E9",855000.0,M5V 2E9,38 widmer st,43.6464221,-79.391089,"{'place_id': 95871710, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4674953, 'boundingbox': ['43.6463166', '43.6467912', '-79.3912445', '-79.3910478'], 'lat': '43.6464221', 'lon': '-79.391089', 'display_name': 'Widmer Street, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1J9, Canada', 'class': 'highway', 'type': 'residential', 'importance': 0.6}"
33,#107 -1700 EGLINTON AVE E,"Toronto, Ontario M4A2X4",478000.0,M4A 2X4,1700 eglinton ave e,43.72638499999999,-79.31282904307693,"{'place_id': 109557618, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 32224961, 'boundingbox': ['43.726058', '43.72672', '-79.313037', '-79.312048'], 'lat': '43.72638499999999', 'lon': '-79.31282904307693', 'display_name': '1700, Eglinton Avenue East, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M4A 1J8, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.711}"
34,##69 -1209 QUEEN ST E,"Toronto, Ontario M4M3H4",799000.0,M4M 3H4,1209 queen st e,43.6628783,-79.3313065,"{'place_id': 6514745, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 804614415, 'boundingbox': ['43.6628283', '43.6629283', '-79.3313565', '-79.3312565'], 'lat': '43.6628783', 'lon': '-79.3313065', 'display_name': '1209, Queen Street East, Leslieville, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1L4, Canada', 'class': 'place', 'type': 'house', 'importance': 0.711}"
35,#2713 -30 SHORE BREEZE DR,"Toronto, Ontario M8V1A1",769000.0,M8V 1A1,30 shore breeze dr,,,
36,59 ANNIE CRAIG Drive Unit# 306,"Toronto, Ontario M8V0C4",600888.0,M8V 0C4,59 annie craig drive ,43.6253878,-79.4784544,"{'place_id': 185950739, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 362984235, 'boundingbox': ['43.6248586', '43.6254684', '-79.47868', '-79.4784276'], 'lat': '43.6253878', 'lon': '-79.4784544', 'display_name': 'Annie Craig Drive, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8V 1A2, Canada', 'class': 'highway', 'type': 'residential', 'importance': 0.7000000000000001}"
37,#2401 -25 GRENVILLE ST,"Toronto, Ontario M4Y2X5",585000.0,M4Y 2X5,25 grenville st,43.661673199999996,-79.38465863528589,"{'place_id': 116923797, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 61760100, 'boundingbox': ['43.6615473', '43.6617991', '-79.3848791', '-79.3844382'], 'lat': '43.661673199999996', 'lon': '-79.38465863528589', 'display_name': 'The Gallery, 25, Grenville Street, Discovery District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 1X5, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
38,#529 -5 MARINE PARADE DR,"Toronto, Ontario M8V4B4",669000.0,M8V 4B4,5 marine parade dr,43.6297862,-79.47556608930631,"{'place_id': 110012759, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 33408322, 'boundingbox': ['43.629439', '43.630233', '-79.4757934', '-79.474667'], 'lat': '43.6297862', 'lon': '-79.47556608930631', 'display_name': 'Grenadier Landing, 5, Marine Parade Drive, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8V 1A2, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.711}"
39,#717W -36 LISGAR ST,"Toronto, Ontario M6O0J7",520000.0,M6O 0J7,36 lisgar st,43.64153145,-79.42336380365559,"{'place_id': 166023995, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 261804490, 'boundingbox': ['43.6411982', '43.6420781', '-79.4238281', '-79.422986'], 'lat': '43.64153145', 'lon': '-79.42336380365559', 'display_name': '36, Lisgar Street, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 3S7, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
40,#213 -55 MERCHANTS' WHARF WAY,"Toronto, Ontario M5A0P2",629000.0,M5A 0P2,55 merchants' wharf way,,,
41,#2802 -33 EMPRESS AVE,"Toronto, Ontario M2N6Y7",1288000.0,M2N 6Y7,33 empress ave,43.7692802,-79.4126333,"{'place_id': 7449321, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 897922929, 'boundingbox': ['43.7692302', '43.7693302', '-79.4126833', '-79.4125833'], 'lat': '43.7692802', 'lon': '-79.4126333', 'display_name': '33, Empress Avenue, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 6T3, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
42,#1310 -155 LEGION RD N,"Toronto, Ontario M8Y0A7",609888.0,M8Y 0A7,155 legion rd n,43.623659,-79.4882737,"{'place_id': 34775125, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 2883460460, 'boundingbox': ['43.623609', '43.623709', '-79.4883237', '-79.4882237'], 'lat': '43.623659', 'lon': '-79.4882737', 'display_name': '155, Legion Road North, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8Y 1G4, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
43,#302 -100 CANYON AVE,"Toronto, Ontario M3H5T9",621000.0,M3H 5T9,100 canyon ave,43.75760975,-79.43815219999999,"{'place_id': 109635062, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 32326089, 'boundingbox': ['43.7574539', '43.7577656', '-79.4385386', '-79.4377658'], 'lat': '43.75760975', 'lon': '-79.43815219999999', 'display_name': 'The Towers, 100, Canyon Avenue, York Centre, North York, Toronto, Golden Horseshoe, Ontario, M3H 3S4, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
44,#1403 -330 ALTON TOWERS CIRC,"Toronto, Ontario M1V5H3",600000.0,M1V 5H3,330 alton towers circ,,,
45,#205 -5580 SHEPPARD AVE E,"Toronto, Ontario M1B2L3",435000.0,M1B 2L3,5580 sheppard ave e,43.7946,-79.2373097967434,"{'place_id': 110041886, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 33542823, 'boundingbox': ['43.794328', '43.79492', '-79.237949', '-79.237027'], 'lat': '43.7946', 'lon': '-79.2373097967434', 'display_name': '5580, Sheppard Avenue East, Scarborough North, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5Z6, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.711}"
46,#715E -36 LISGAR ST,"Toronto, Ontario M6J3G2",610000.0,M6J 3G2,36 lisgar st,43.64153145,-79.42336380365559,"{'place_id': 166023995, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 261804490, 'boundingbox': ['43.6411982', '43.6420781', '-79.4238281', '-79.422986'], 'lat': '43.64153145', 'lon': '-79.42336380365559', 'display_name': '36, Lisgar Street, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 3S7, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
