Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
#608 -16 MCADAM AVE,"Toronto, Ontario M6A1S5",23819569,W5430343,SingleFamily,799000.00,,Apartment,,2,3,,"Hospital,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,PartyRoom,Security/Concierge,RecreationCentre",,,no,,,,yes,6,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Yorkdale-Glen Park,Condominium/Strata,"$3,200 (CAD)","Underground, Visitor Parking",10 days,3,2,,"Storage - Locker, Party Room, Security/Concierge, Recreation Centre",Central air conditioning,Forced air (Natural gas),"Aluminum siding, Concrete",,,"Hospital, Public Transit",$574 (CAD) Monthly,Dream Maker Property Management,1,{}
#2613 -155 YORKVILLE AVE,"Toronto, Ontario M5R1C4",23832639,C5434752,SingleFamily,1399000.00,,Apartment,,2,2,,"Hospital,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,16,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Annex,Condominium/Strata,"$8,181.47 (CAD)",Underground,5 days,2,2,,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Hospital, Public Transit, Schools","$1,005.82 (CAD) Monthly",Icc Property Management,1,"{'Flat': {'Living room': '6.9 m x 4.93 m', 'Dining room': '6.9 m x 4.93 m', 'Kitchen': 'Measurements not available', 'Primary Bedroom': '4.42 m x 3.71 m', 'Bedroom 2': '4.01 m x 3.86 m', 'Bathroom': 'Measurements not available'}}"
#2106 -426 UNIVERSITY AVE,"Toronto, Ontario M5G1S9",23824649,C5432040,SingleFamily,598000.00,,Apartment,,1,1,,,,,,,,,,,,,,,,,,,,no,,,,yes,16,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,University,Condominium/Strata,"$2,138.55 (CAD)",,7 days,1,1,Balcony,,Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,,,$378.72 (CAD) Monthly,Crossbridge Condominium Services (416-3413815),,"{'Flat': {'Living room': '4.17 m x 2.74 m', 'Dining room': '4.17 m x 2.74 m', 'Kitchen': '4.17 m x 2.01 m', 'Primary Bedroom': '2.86 m x 2.72 m', 'Other': '4.98 m x 1.52 m'}}"
#509 -1028 MCNICOLL AVE,"Toronto, Ontario M1W0A8",23836201,E5435982,SingleFamily,529000.00,,Apartment,,2,2,PetsnotAllowed,,,,,,,Underground,,,,.,,,,,,,,no,,,,yes,11,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Steeles,Leasehold Condo/Strata,"$2,306.88 (CAD)",Underground,4 days,1,2,,,Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,Pets not Allowed,,$635.20 (CAD) Monthly,St. John's Mcnicoll Centre,,"{'Flat': {'Kitchen': '4.18 m x 2.1 m', 'Dining room': '4.18 m x 2.1 m', 'Living room': '3.39 m x 3.14 m', 'Bedroom': '5.15 m x 2.89 m', 'Den': '2.44 m x 2.1 m'}}"
#303 -77 SHUTER ST,"Toronto, Ontario M5B0B8",23817169,C5429378,SingleFamily,644900.00,,Apartment,,1,2,,"Hospital,Park,PublicTransit,Schools",,,,,,,,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,25,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$2,245.76 (CAD)",,11 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Hospital, Park, Public Transit, Schools",$396.89 (CAD) Monthly,Crossbridge Condominium Services,,"{'Flat': {'Living room': '6.1 m x 2.79 m', 'Dining room': '6.1 m x 2.79 m', 'Kitchen': '6.1 m x 2.79 m', 'Bedroom': '3.1 m x 2.97 m', 'Den': '1.55 m x 1.93 m'}}"
#3 -726 SHEPPARD AVE W,"Toronto, Ontario M3H2S8",23774522,C5415110,SingleFamily,469900.00,,Apartment,,1,1,,,,,,,,,,,,,,,,,,,,no,,,,yes,20,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Bathurst Manor,Condominium/Strata,"$1,496.98 (CAD)",,25 days,1,1,,,Central air conditioning,Forced air (Natural gas),Brick,,,,$365.44 (CAD) Monthly,Maple Ridge Community Management Ltd,,"{'Flat': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Bathroom': 'Measurements not available', 'Bedroom': 'Measurements not available'}}"
#1907 -180 UNIVERSITY AVE,"Toronto, Ontario M5H0A2",23773273,C5414734,SingleFamily,1045000.00,,Apartment,,1,1,PetsnotAllowed,"Hospital,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,17,Video,,Toronto,Ontario,no,no,no,no,no,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$4,154.89 (CAD)","Underground, Visitor Parking",26 days,1,1,,"Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,Pets not Allowed,"Hospital, Public Transit, Schools",$893.78 (CAD) Monthly,Del Property Management Inc. 647-748-2011,1,"{'Main level': {'Living room': '4.33 m x 3.33 m', 'Dining room': '3.66 m x 1.86 m', 'Kitchen': '3.66 m x 2.47 m', 'Primary Bedroom': '3.4 m x 3.38 m'}}"
#1529 -18 MONDEO DR,"Toronto, Ontario M1P5C8",23836196,E5435910,SingleFamily,499800.00,,Apartment,,1,2,CommunityCentre,"Hospital,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Security/Concierge,Sauna,ExerciseCentre",,,no,,,,yes,24,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Dorset Park,Condominium/Strata,"$1,558.08 (CAD)",Underground,4 days,1,1,Balcony,"Security/Concierge, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,Indoor pool,Community Centre,"Hospital, Public Transit, Schools",$454.36 (CAD) Monthly,Del Management (416) 754-1437,1,"{'Flat': {'Kitchen': '2.62 m x 2.62 m', 'Living room': '5.87 m x 3.21 m', 'Dining room': '5.87 m x 3.21 m', 'Primary Bedroom': '4.12 m x 2.91 m', 'Den': '2.52 m x 2.44 m'}}"
#424 -38 JOE SHUSTER WAY,"Toronto, Ontario M6K0A5",23818611,C5429823,SingleFamily,595000.00,,Apartment,,1,2,,"Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,27,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Niagara,Condominium/Strata,"$2,016.34 (CAD)","Underground, Visitor Parking",10 days,2,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Park, Public Transit",$514.67 (CAD) Monthly,Goldview,1,"{'Main level': {'Living room': '6.2 m x 3.05 m', 'Kitchen': 'Measurements not available', 'Bedroom': '3.93 m x 2.99 m', 'Bedroom 2': '2.99 m x 2.96 m'}}"
#914 -20 RICHARDSON ST,"Toronto, Ontario M5A4J9",23832585,C5434526,SingleFamily,678888.00,,Apartment,,1,2,PetsnotAllowed,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,30,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C8,Condominium/Strata,"$3,600.56 (CAD)",Underground,5 days,1,1,Balcony,Storage - Locker,Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,Pets not Allowed,,$378.69 (CAD) Monthly,Property Management Ltd Acmo 416-551- 2036,,"{'Main level': {'Kitchen': '3.35 m x 3.07 m', 'Living room': '3.35 m x 3.07 m', 'Dining room': '3.35 m x 3.07 m', 'Primary Bedroom': '3.16 m x 3.06 m', 'Study': '3.35 m x 3.07 m'}}"
#206 -190 ST GEORGE ST,"Toronto, Ontario M5R2N4",23812631,C5427832,SingleFamily,849900.00,,Apartment,,1,1,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,ExerciseCentre,RecreationCentre",,,no,,,,yes,20,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Annex,Condominium/Strata,"$3,281 (CAD)","Underground, Visitor Parking",12 days,1,1,Balcony,"Storage - Locker, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,,"Hospital, Park, Public Transit, Schools",$904.50 (CAD) Monthly,Pro-House Management Limited 416-780-7832,1,"{'Main level': {'Foyer': '3.75 m x 1.2 m', 'Living room': '5.79 m x 4.28 m', 'Dining room': '5.79 m x 4.28 m', 'Kitchen': '3.66 m x 2.44 m', 'Eating area': '3.66 m x 2.44 m', 'Primary Bedroom': '4.28 m x 3.36 m', 'Laundry room': 'Measurements not available', 'Bathroom': 'Measurements not available'}}"
#TH10 -68 HAVELOCK ST,"Toronto, Ontario M6H0C4",23774554,C5415224,SingleFamily,1725000.00,,Row/Townhouse,,3,4,,"Park,PublicTransit,Schools",3,,,,,"Underground,VisitorParking",,,,,,,,,,,,no,,,,yes,36,"Video,FloorPlan",iGuide,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,Dufferin Grove,Condominium/Strata,"$6,550.60 (CAD)","Underground, Visitor Parking",25 days,3,3,Balcony,,Central air conditioning,Forced air (Natural gas),Brick,,,"Park, Public Transit, Schools",$501.85 (CAD) Monthly,Dynamic Property Management,1,"{'Second level': {'Bedroom 2': '3.93 m x 2.74 m', 'Bedroom 3': '3.93 m x 3.6 m'}, 'Third level': {'Primary Bedroom': '3.93 m x 3.29 m'}, 'Basement': {'Den': '2.77 m x 2.29 m'}, 'Ground level': {'Living room': '3.96 m x 4.54 m', 'Dining room': '3.81 m x 2.46 m', 'Kitchen': '4.26 m x 2.92 m'}}"
#PH2 -360 BLOOR ST E,"Toronto, Ontario M4W3M3",23760170,C5410416,SingleFamily,1449000.00,,Apartment,,3,2,,"Park,PublicTransit",2,,,,,"Underground,VisitorParking",,,,,,,,,"Security/Concierge,Sauna,ExerciseCentre",,,no,,,,yes,38,Video,Matterport,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Rosedale-Moore Park,Condominium/Strata,"$3,861.60 (CAD)","Underground, Visitor Parking",31 days,2,3,Ravine,"Security/Concierge, Sauna, Exercise Centre",Central air conditioning,Heat Pump,Concrete,Indoor pool,,"Park, Public Transit","$1,223.10 (CAD) Monthly",Percel Inc. 416-928-3098,1,"{'Main level': {'Living room': '4.85 m x 3.69 m', 'Dining room': '4.85 m x 2.62 m', 'Kitchen': '3.84 m x 3.02 m', 'Foyer': 'Measurements not available', 'Storage': 'Measurements not available'}, 'Upper Level': {'Primary Bedroom': '5.24 m x 3.38 m', 'Bedroom 2': '5.24 m x 3.05 m', 'Bathroom': '2.56 m x 1.58 m', 'Other': '8.26 m x 3.38 m', 'Laundry room': '1.83 m x 1.49 m'}}"
#504 -2130 WESTON RD,"Toronto, Ontario M9N3R9",23795348,W5421976,SingleFamily,498888.00,,Apartment,,1,2,,"PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"CarWash,ExerciseCentre",,,no,,,,yes,33,Video,Matterport,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Weston,Condominium/Strata,$983.52 (CAD),"Underground, Visitor Parking",18 days,2,1,Balcony,"Car Wash, Exercise Centre",Central air conditioning,Forced air (Electric),"Brick, Concrete",,,"Public Transit, Schools",$818 (CAD) Monthly,Gpm Proeprty Management Inc. Tel# 905- 669-0222,1,"{'Main level': {'Living room': '6.7 m x 3.6 m', 'Dining room': '3.2 m x 2.5 m', 'Kitchen': '3.1 m x 2.3 m', 'Primary Bedroom': '4 m x 4 m', 'Bedroom 2': '4 m x 3.3 m', 'Laundry room': '1.7 m x 1.6 m'}}"
#1010 -219 DUNDAS ST,"Toronto, Ontario M5A1Z7",23808074,C5426300,SingleFamily,554990.00,,Apartment,,1,0,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,5,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Moss Park,Condominium/Strata,$0 (CAD),Underground,13 days,,1,Balcony,Storage - Locker,Central air conditioning,,Brick,,,,$254.67 (CAD) Monthly,Menres Property Management,,"{'Main level': {'Living room': '3.35 m x 3.75 m', 'Kitchen': '3.22 m x 3.4 m'}}"
#1008 -1 HICKORY TREE RD,"Toronto, Ontario M9N3W4",23813554,W5428074,SingleFamily,564900.00,,Apartment,,2,3,,"Park,PublicTransit",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,30,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Weston,Condominium/Strata,"$1,215.92 (CAD)",Underground,12 days,2,2,Wooded area,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,Indoor pool,,"Park, Public Transit","$1,002.46 (CAD) Monthly",Percel Property Management,1,"{'Main level': {'Living room': '6.53 m x 3.23 m', 'Dining room': '2.95 m x 2.75 m', 'Kitchen': '3.1 m x 2.39 m', 'Primary Bedroom': '4.09 m x 3.18 m', 'Bedroom 2': '3.36 m x 3.05 m', 'Den': '3.15 m x 1.68 m'}}"
#204 -412 JARVIS ST,"Toronto, Ontario M4Y2G6",23796239,C5422388,SingleFamily,699000.00,,Apartment,,1,1,,"Hospital,Park,PublicTransit,Schools",,,,,,,,,,,,,,,,,,no,,,,yes,20,Video,Youtube,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$2,639.58 (CAD)",,18 days,1,1,Balcony,,Central air conditioning,Forced air (Natural gas),Brick,,,"Hospital, Park, Public Transit, Schools",$420.32 (CAD) Monthly,Zoran Properties Inc,,"{'Main level': {'Foyer': '1.6 m x 1.17 m', 'Living room': '3.28 m x 3.76 m', 'Dining room': '2.92 m x 2.69 m', 'Kitchen': '3.91 m x 2.64 m', 'Bedroom': '3.35 m x 5.18 m', 'Bathroom': '2.39 m x 3.02 m'}}"
#602 -315 DIXON RD,"Toronto, Ontario M9R1S1",23748201,W5406427,SingleFamily,519900.00,,Apartment,,2,3,,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,Storage-Locker,,,no,,,,yes,34,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Kingsview Village-The Westway,Condominium/Strata,"$1,197.59 (CAD)","Underground, Visitor Parking",34 days,3,2,Balcony,Storage - Locker,,Baseboard heaters (Electric),Brick,,,"Park, Public Transit, Schools",$529.74 (CAD) Monthly,"Zoran Properties Inc, (416) 620-5896",1,"{'Flat': {'Living room': '5 m x 4 m', 'Dining room': '3.4 m x 3.25 m', 'Kitchen': '3.7 m x 3.1 m', 'Primary Bedroom': '4.5 m x 3.4 m', 'Bedroom 2': '3.25 m x 3.2 m', 'Bedroom 3': '3 m x 2.94 m', 'Laundry room': '2 m x 2 m'}}"
#301 -400 THE EAST MALL,"Toronto, Ontario M9B3Z9",23797119,W5422686,SingleFamily,1029000.00,,Row/Townhouse,,3,3,,"PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,3,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,Islington-City Centre West,Condominium/Strata,$0 (CAD),"Underground, Visitor Parking",18 days,3,3,,"Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools",$485 (CAD) Monthly,Tba,1,"{'Third level': {'Bedroom 2': 'Measurements not available', 'Primary Bedroom': 'Measurements not available'}, 'Upper Level': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Bedroom': 'Measurements not available'}}"
#102 -28 OLIVE AVE,"Toronto, Ontario M2N7E6",23826940,C5432713,SingleFamily,499900.00,,Apartment,,1,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,PartyRoom,Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,19,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Willowdale East,Condominium/Strata,"$1,796.38 (CAD)","Underground, Visitor Parking",6 days,1,1,,"Storage - Locker, Party Room, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,,$563.06 (CAD) Monthly,Del Property Management,1,"{'Main level': {'Dining room': '5.6 m x 2.85 m', 'Living room': '5.6 m x 2.85 m', 'Kitchen': '2.5 m x 2.4 m', 'Primary Bedroom': '4.45 m x 2.55 m', 'Den': '2.8 m x 2.45 m'}}"
44 SNOWSHOE MILL WAY,"Toronto, Ontario M2L1T5",23832653,C5434789,SingleFamily,1000000.00,,Row/Townhouse,,4,5,CommunityCentre,"Park,PublicTransit,Schools",2,,,,,"Garage,VisitorParking",,,,,,,,,,,,no,,,,yes,39,"Video,Brochure,Photos,Map",,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,St. Andrew-Windfields,Condominium/Strata,"$5,438 (CAD)","Garage, Visitor Parking",5 days,4,4,"Ravine, Conservation/green belt",,Central air conditioning,Forced air (Natural gas),Brick,Outdoor pool,Community Centre,"Park, Public Transit, Schools","$1,035.09 (CAD) Monthly",Crossbridgecondominiums.Com 416-510-8700 111 Gordon Baker,3,"{'Second level': {'Primary Bedroom': '4.3 m x 3.9 m', 'Bedroom 2': '3.9 m x 3.1 m', 'Bedroom 3': '3.62 m x 2.95 m', 'Bedroom 4': '3.7 m x 2.7 m'}, 'Basement': {'Bedroom 5': '4.4 m x 2.43 m', 'Recreational, Games room': '4.2 m x 3.6 m', 'Office': '5.3 m x 3.5 m'}, 'Ground level': {'Living room': '5.2 m x 3.6 m', 'Dining room': '4.05 m x 3.55 m', 'Kitchen': '3.6 m x 2.3 m', 'Eating area': '3.2 m x 2.8 m', 'Foyer': '4.6 m x 2.36 m'}}"
#908 -3 HICKORY TREE RD,"Toronto, Ontario M9N3W5",23794057,W5421658,SingleFamily,599900.00,,Apartment,,2,3,,"Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,CarWash,Security/Concierge,ExerciseCentre",,,no,,,,yes,35,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Weston,Condominium/Strata,"$1,203.69 (CAD)","Underground, Visitor Parking",19 days,2,2,Ravine,"Storage - Locker, Car Wash, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,Indoor pool,,"Park, Public Transit","$1,002.46 (CAD) Monthly",Percel Property Management,1,"{'Main level': {'Living room': '6.3 m x 3.3 m', 'Dining room': '5.9 m x 3.3 m', 'Kitchen': '2.4 m x 2.4 m', 'Primary Bedroom': '3.15 m x 4.1 m', 'Bedroom 2': '3 m x 3.3 m', 'Solarium': '1.75 m x 3.15 m'}}"
#1004 -117 GERRARD ST E,"Toronto, Ontario M5B2L4",23827881,C5433088,SingleFamily,459000.00,,Apartment,,1,2,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,25,Video,Youtube,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$1,496.98 (CAD)","Underground, Visitor Parking",6 days,1,1,,"Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Hospital, Park, Public Transit, Schools",$550.42 (CAD) Monthly,T.S.E. Management Services Inc.,,"{'Main level': {'Living room': '6.1 m x 3.02 m', 'Dining room': '6.1 m x 3.02 m', 'Kitchen': '2.4 m x 2.3 m', 'Den': '3.15 m x 2 m', 'Bedroom': '2.59 m x 1.83 m', 'Foyer': '1.2 m x 3.1 m'}}"
#304 -318 RICHMOND ST W,"Toronto, Ontario M5V0B4",23788954,C5419884,SingleFamily,4750000.00,,Apartment,,3,3,,,,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$10,375 (CAD)",Underground,20 days,2,3,,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Heat Pump (Natural gas),,,,,"$2,241.05 (CAD) Monthly",Crossbridge Condominium Services Ltd,3,"{'Other': {'Foyer': 'Measurements not available', 'Living room': '7.52 m x 7.47 m', 'Dining room': '7.52 m x 7.47 m', 'Family room': '5.46 m x 3.38 m', 'Kitchen': '9.19 m x 2.54 m', 'Primary Bedroom': '7.44 m x 3.56 m', 'Sitting room': 'Measurements not available', 'Bedroom 2': '5.54 m x 2.95 m', 'Laundry room': '2.38 m x 1.72 m', 'Other': 'Measurements not available'}}"
#739 -36 VIA BAGNATO,"Toronto, Ontario M6A0B7",23834804,W5435398,SingleFamily,549990.00,,Apartment,,1,1,,PublicTransit,,,,,,Underground,,,,,,,,,"Storage-Locker,PartyRoom,ExerciseCentre",,,no,,,,yes,24,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Yorkdale-Glen Park,Condominium/Strata,"$2,022.45 (CAD)",Underground,4 days,1,1,Balcony,"Storage - Locker, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,Outdoor pool,,Public Transit,$402.19 (CAD) Monthly,Duka Property Management,1,"{'Main level': {'Living room': '5.34 m x 3.05 m', 'Kitchen': '4.02 m x 3.58 m', 'Primary Bedroom': '3.15 m x 2.98 m'}}"
#1720W -36 LISGAR ST,"Toronto, Ontario M6J3G2",23833728,C5435161,SingleFamily,524000.00,,Apartment,,2,1,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,18,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Little Portugal,Condominium/Strata,"$1,912.47 (CAD)",Underground,4 days,1,2,Balcony,,Central air conditioning,Forced air (Natural gas),Concrete,,,,$535.45 (CAD) Monthly,Del Property Management,1,{}
#2407 -20 THOMAS RILEY RD W,"Toronto, Ontario M9B1B3",23818824,W5429968,SingleFamily,689000.00,,Apartment,,2,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,38,Video,Youtube,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Islington-City Centre West,Condominium/Strata,"$2,248.53 (CAD)","Underground, Visitor Parking",10 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,,$600.15 (CAD) Monthly,First Service Residential,1,"{'Flat': {'Living room': '5.49 m x 5.18 m', 'Kitchen': '3.41 m x 5.18 m', 'Primary Bedroom': '3.02 m x 2.87 m', 'Bedroom 2': '3.05 m x 2.74 m'}}"
#3016 -55 HARBOUR SQ,"Toronto, Ontario M5J2L1",23803805,C5424991,SingleFamily,980000.00,,Apartment,,1,1,PetsnotAllowed,"Marina,Park,PublicTransit,Schools",,,,,,VisitorParking,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,25,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$3,440 (CAD)",Visitor Parking,16 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Baseboard heaters (Electric),Concrete,,Pets not Allowed,"Marina, Park, Public Transit, Schools",$870.46 (CAD) Monthly,Crossbridge Condominium Services 416-510-8700,1,"{'Main level': {'Living room': '5.88 m x 3.71 m', 'Dining room': '3.84 m x 3.13 m', 'Kitchen': '3.53 m x 2.77 m', 'Primary Bedroom': '4.87 m x 3.47 m'}}"
#708 -89 MCGILL ST,"Toronto, Ontario M5B1H5",23804568,C5425257,SingleFamily,868888.00,,Apartment,,2,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,22,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$2,800 (CAD)","Underground, Visitor Parking",15 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Outdoor pool,,,$632.91 (CAD) Monthly,Tscc,1,"{'Flat': {'Living room': '7.15 m x 3.43 m', 'Dining room': '7.15 m x 3.43 m', 'Kitchen': '7.15 m x 3.43 m', 'Primary Bedroom': '3.21 m x 3.03 m', 'Bedroom 2': '3.57 m x 3 m'}}"
#1916 -100 WINGARDEN CRT,"Toronto, Ontario M1B2P4",23750239,E5407107,SingleFamily,499900.00,,Apartment,,2,2,,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,RecreationCentre,,,no,,,,yes,20,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Malvern,Condominium/Strata,$850 (CAD),"Underground, Visitor Parking",33 days,2,2,Balcony,Recreation Centre,,Baseboard heaters (Natural gas),Brick,,,"Park, Public Transit, Schools",$626.26 (CAD) Monthly,A.A. Property Management And Associates Inc.,1,{}
