Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
#309 -38 DAN LECKIE WAY,"Toronto, Ontario M5V2V6",23839340,C5436878,SingleFamily,649900.00,,Apartment,,1,2,,"PublicTransit,Schools",,,,,,,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,26,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,187.42 (CAD)",,2 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools",$413.66 (CAD) Monthly,Icon Property Management,1,"{'Main level': {'Kitchen': '3.81 m x 2.75 m', 'Dining room': '5.59 m x 3.45 m', 'Living room': '5.59 m x 3.45 m', 'Primary Bedroom': '3.45 m x 2.89 m', 'Den': '3.38 m x 2.21 m'}}"
78 PURPLE SAGE WAY,"Toronto, Ontario M2H2Z7",23834620,C5435362,SingleFamily,789000.00,,Row/Townhouse,,2,3,PetsnotAllowed,,3,,,,,Garage,,,,,,,,,,,Walkout,no,,,,yes,12,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Row / Townhouse,Hillcrest Village,Condominium/Strata,"$2,021 (CAD)",Garage,4 days,3,2,,,Central air conditioning,Forced air (Natural gas),"Aluminum siding, Brick",,Pets not Allowed,,$418.89 (CAD) Monthly,Newton Trelawney Property Management Services,2,"{'Second level': {'Living room': '5.6 m x 3.1 m', 'Dining room': '3.25 m x 2.43 m', 'Kitchen': '3.4 m x 3.2 m'}, 'Third level': {'Bedroom': '4.1 m x 2.92 m', 'Bedroom 2': '4.06 m x 2.84 m', 'Bedroom 3': '3.05 m x 2.64 m'}, 'Ground level': {'Family room': '3.8 m x 3.6 m'}}"
#3103 -750 BAY ST,"Toronto, Ontario M5G1N6",23783481,C5418104,SingleFamily,1048000.00,,Apartment,,2,2,,PublicTransit,,,,,,Underground,,,,,,,,,"Storage-Locker,Sauna,ExerciseCentre,RecreationCentre",,,no,,,,yes,40,Video,Youtube,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$4,093.79 (CAD)",Underground,22 days,2,2,Balcony,"Storage - Locker, Sauna, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,Public Transit,"$1,009.65 (CAD) Monthly",Andrejs Management Inc.,1,"{'Main level': {'Living room': '6.09 m x 3.35 m', 'Dining room': '6.09 m x 3.35 m', 'Kitchen': '2.43 m x 2.31 m', 'Primary Bedroom': '4.3 m x 3.04 m', 'Bedroom 2': '4.26 m x 3.07 m'}}"
#LOCKER -4K SPADINA AVE,"Toronto, Ontario M5V3Y9",23792133,C5420931,SingleFamily,4900.00,,Other,,0,,,,,,,,,,,,,.,,,,,Storage-Locker,,,no,,,,yes,1,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Other,Waterfront Communities C1,Condominium/Strata,$32.98 (CAD),,19 days,,0,,Storage - Locker,,,,,,,$9.11 (CAD) Monthly,Immediate/Tba,,{}
#2012 -78 HARRISON GARDEN BLVD,"Toronto, Ontario M2N7E2",23760185,C5410477,SingleFamily,840000.00,,Apartment,,2,2,CommunityCentre,"Park,PublicTransit",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,14,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Willowdale East,Condominium/Strata,"$2,743.45 (CAD)",Underground,31 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Electric),Concrete,Indoor pool,Community Centre,"Park, Public Transit",$711.84 (CAD) Monthly,Del Property Management,1,"{'Flat': {'Living room': '6.11 m x 4.11 m', 'Dining room': '6.11 m x 4.11 m', 'Kitchen': '4.57 m x 2.9 m', 'Primary Bedroom': '3.96 m x 3.8 m', 'Bedroom 2': '3.51 m x 2.75 m', 'Foyer': '2.74 m x 1.82 m'}}"
#714 -40 HOMEWOOD AVE,"Toronto, Ontario M4Y2K2",23767404,C5412774,SingleFamily,519000.00,,Apartment,,1,1,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,18,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Cabbagetown-South St. James Town,Condominium/Strata,"$1,851.37 (CAD)","Underground, Visitor Parking",27 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,Radiant heat (Electric),"Brick, Concrete",Indoor pool,,"Hospital, Park, Public Transit, Schools",$634.69 (CAD) Monthly,Crossbridge Property Management,1,"{'Flat': {'Kitchen': '2.2 m x 3.2 m', 'Living room': '3.8 m x 6.9 m', 'Dining room': '2.3 m x 2.5 m', 'Primary Bedroom': '3.2 m x 4.95 m', 'Bathroom': '1.6 m x 2.4 m', 'Other': '2.4 m x 2.4 m'}}"
#227 -250 WELLINGTON ST W,"Toronto, Ontario M5V3P6",23822051,C5431029,SingleFamily,559900.00,,Apartment,,1,2,,"Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,077.44 (CAD)","Underground, Visitor Parking",9 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Park, Public Transit",$515.05 (CAD) Monthly,Nadlan Harris Property Management 416-596-0490,1,"{'Flat': {'Foyer': '1.36 m x 1.08 m', 'Living room': '5.37 m x 2.84 m', 'Kitchen': '2.64 m x 2.59 m', 'Bedroom': '3.99 m x 2.4 m', 'Den': '2.47 m x 2.2 m'}}"
#715 -12 BONNYCASTLE ST,"Toronto, Ontario M5A3T7",23762222,C5411338,SingleFamily,699900.00,,Apartment,,1,2,,PublicTransit,,,,,,Underground,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,16,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C8,Condominium/Strata,"$2,107.99 (CAD)",Underground,30 days,1,1,Balcony,"Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",Outdoor pool,,Public Transit,$455.55 (CAD) Monthly,"Monde@Crossbridges.Com, 647-344-8948, Concierge 416-546-1559",,"{'Flat': {'Living room': '3.75 m x 3.43 m', 'Dining room': '3.41 m x 3.25 m', 'Kitchen': '3.41 m x 3.25 m', 'Primary Bedroom': '3.48 m x 2.8 m', 'Den': '2.53 m x 2.21 m'}}"
#809 -2088 LAWRENCE AVE W,"Toronto, Ontario M9N3Z9",23747580,W5406265,SingleFamily,649900.00,,Apartment,,2,2,,PublicTransit,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,PartyRoom,Security/Concierge,ExerciseCentre",,,no,,,,yes,19,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Weston,Condominium/Strata,"$2,021 (CAD)","Underground, Visitor Parking",34 days,2,2,,"Storage - Locker, Party Room, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),"Brick, Stucco",,,Public Transit,"$1,040 (CAD) Monthly",Maple Ridge Community Mgmt Ltd. 905-507-6726,1,"{'Flat': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Foyer': 'Measurements not available', 'Laundry room': 'Measurements not available'}}"
#701 -20 GUILDWOOD PKWY N,"Toronto, Ontario M1E5B6",23835359,E5435628,SingleFamily,615000.00,,Apartment,,2,2,,"Hospital,Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,CarWash,PartyRoom,ExerciseCentre",,,no,,,,yes,14,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Guildwood,Condominium/Strata,"$2,122 (CAD)",Underground,4 days,1,2,Balcony,"Storage - Locker, Car Wash, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Hospital, Park, Public Transit, Schools",$672.01 (CAD) Monthly,Del Property Management,2,"{'Main level': {'Foyer': '2.66 m x 1.66 m', 'Kitchen': '2.77 m x 2.93 m', 'Living room': '4.63 m x 5.85 m', 'Dining room': '4.63 m x 5.85 m', 'Solarium': '3.44 m x 3.78 m', 'Primary Bedroom': '4.11 m x 3.38 m'}}"
#1015 -38 MONTE KWINTER CRT,"Toronto, Ontario M3H0E2",23832598,C5434578,SingleFamily,589000.00,,Apartment,,1,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Clanton Park,Condominium/Strata,"$1,995.25 (CAD)","Underground, Visitor Parking",4 days,2,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,,Concrete,,,,$519.02 (CAD) Monthly,"Frist Service Residential, Ontario 4165513360",1,"{'Flat': {'Living room': '3.55 m x 3.15 m', 'Dining room': '3.55 m x 3.15 m', 'Kitchen': '2.2 m x 2.14 m', 'Bedroom': '3.5 m x 2.9 m', 'Bedroom 2': '3.15 m x 2.44 m'}}"
#4607 -180 UNIVERSITY AVE,"Toronto, Ontario M5H0A2",23798007,C5422759,SingleFamily,1849000.00,,Apartment,,3,2,,"Hospital,Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,CarWash,Security/Concierge,Sauna,ExerciseCentre",,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$7,466.32 (CAD)",Underground,17 days,2,3,Balcony,"Storage - Locker, Car Wash, Security/Concierge, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Hospital, Park, Public Transit, Schools","$1,501 (CAD) Monthly",Del Property Management,1,"{'Flat': {'Foyer': 'Measurements not available', 'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Laundry room': 'Measurements not available'}}"
#1401 -10 DE BOERS DR,"Toronto, Ontario M3J0L6",23805317,W5425533,SingleFamily,739000.00,,Apartment,,2,3,,"Park,PublicTransit",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,31,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,York University Heights,Condominium/Strata,$0 (CAD),Underground,14 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),"Concrete, Stucco",,,"Park, Public Transit",$615 (CAD) Monthly,Lakeview Property Management 416-723-0300,1,"{'Other': {'Living room': '3.6 m x 2.95 m', 'Dining room': '3.9 m x 3.6 m', 'Kitchen': '5.7 m x 4.2 m', 'Bedroom': '3.05 m x 4.2 m', 'Bedroom 2': '2.8 m x 2.7 m', 'Den': '2.2 m x 1.9 m', 'Bathroom': 'Measurements not available'}}"
#1022 -155 DALHOUSIE ST,"Toronto, Ontario M5B2P7",23833694,C5434990,SingleFamily,759000.00,,Apartment,,1,3,,"PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,39,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$2,981.74 (CAD)",Underground,4 days,2,1,,"Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Public Transit, Schools",$758.34 (CAD) Monthly,Crossbridge Condominium Services Ltd.,1,"{'Flat': {'Living room': '5.06 m x 3.35 m', 'Dining room': '5.06 m x 3.35 m', 'Kitchen': '2.8 m x 3.93 m', 'Primary Bedroom': '3.11 m x 3.66 m', 'Bedroom 2': '3.38 m x 3.47 m', 'Den': '2.59 m x 1.58 m'}}"
#2911 -57 ST JOSEPH ST,"Toronto, Ontario M5S0C5",23835323,C5435608,SingleFamily,599900.00,,Apartment,,1,1,,,,,,,,,,,,,,,,,,,,no,,,,yes,16,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$2,315.74 (CAD)",,4 days,1,1,Balcony,,Central air conditioning,Forced air (Natural gas),Concrete,,,,$266.71 (CAD) Monthly,Legacy & Associates Management Inc.,,"{'Flat': {'Living room': '4.22 m x 2.9 m', 'Dining room': '4.22 m x 2.9 m', 'Kitchen': '4.22 m x 2.9 m', 'Bedroom': '2.39 m x 2.44 m'}}"
#621 -27 BATHURST ST,"Toronto, Ontario M5V2P1",23771843,C5414292,SingleFamily,564900.00,,Apartment,,1,2,,,,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,23,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,100 (CAD)",Underground,26 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Outdoor pool,,,$391.86 (CAD) Monthly,First Service Residential,,"{'Main level': {'Living room': '46.12 m x 49.27 m', 'Dining room': '46.12 m x 49.27 m', 'Primary Bedroom': '32.93 m x 31.52 m', 'Den': '18.07 m x 21.94 m', 'Bathroom': 'Measurements not available'}}"
#1226 -111 ST CLAIR AVE W,"Toronto, Ontario M4V1N5",23785002,C5418656,SingleFamily,528800.00,,Apartment,,1,1,,Park,,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,23,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Yonge-St. Clair,Condominium/Strata,"$2,398.82 (CAD)",Underground,21 days,1,1,,"Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Stone,Indoor pool,,Park,$475.35 (CAD) Monthly,First Service Residential,,"{'Flat': {'Living room': '4.96 m x 4.03 m', 'Dining room': '4.96 m x 4.02 m', 'Kitchen': '4.96 m x 4.02 m', 'Bedroom': '3.2 m x 2.74 m'}}"
#1608 -2220 LAKE SHORE BLVD W,"Toronto, Ontario M8V0C1",23824715,W5432066,SingleFamily,599900.00,,Apartment,,1,2,,"Marina,Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,30,"Video,FloorPlan",Realvision,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mimico,Condominium/Strata,"$2,004.12 (CAD)","Underground, Visitor Parking",7 days,1,1,"Ravine, Balcony","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Marina, Park, Public Transit",$456.73 (CAD) Monthly,Cpo Management 416-797-6982,1,"{'Flat': {'Living room': '3 m x 3 m', 'Dining room': '3.3 m x 3.3 m', 'Kitchen': '3.3 m x 3.3 m', 'Bedroom': '4 m x 2.8 m', 'Den': '1.9 m x 1.9 m'}}"
#2602 -5 NORTHTOWN WAY,"Toronto, Ontario M2N7A1",23829212,C5433612,SingleFamily,1499000.00,,Apartment,,3,3,CommunityCentre,"Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,34,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Willowdale East,Condominium/Strata,"$4,857.55 (CAD)",Underground,5 days,2,3,,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air,Concrete,,Community Centre,"Park, Public Transit, Schools","$1,366.56 (CAD) Monthly",Del Property Management,2,"{'Main level': {'Foyer': '1.77 m x 1.49 m', 'Living room': '4.24 m x 3.63 m', 'Dining room': '5.29 m x 4.8 m', 'Kitchen': '4 m x 3.98 m', 'Primary Bedroom': '8.73 m x 3.03 m', 'Bedroom 2': '3.42 m x 2.78 m', 'Den': '3.09 m x 4.09 m'}}"
#610 -2285 LAKE SHORE BLVD,"Toronto, Ontario M8V3X9",23832817,W5434662,SingleFamily,549000.00,,Apartment,,1,1,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,14,"Video,Brochure",Youtube,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mimico,Condominium/Strata,"$2,156 (CAD)",Underground,4 days,1,1,,Storage - Locker,Central air conditioning,Forced air (Natural gas),Concrete,,,,$859.74 (CAD) Monthly,Maple Ridge Community Management,1,"{'Main level': {'Living room': '5.3 m x 4.6 m', 'Dining room': '5.3 m x 4.6 m', 'Kitchen': '3.38 m x 3.36 m', 'Bedroom': '4.81 m x 3.29 m'}}"
